Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,— PIEDZIŅA —,Y,,,,,,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,No,No,N,,,"The specification text does not mention 4X4, 4WD, or AWD systems.; There is no mention of a 4X4 or AWD/4WD system in the specification text.; The specification text does not mention a 4X4 full-time (4WD/AWD) system.",
NR27,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,Y,,,,,,,,
NR28,Krāsa – metāliska kā standarta,N,No,No,No,N,,,There is no mention of metallic paint as a standard feature in the specification text.; The specification text does not mention anything about metallic paint as a standard feature.; There is no mention of metallic paint as a standard option in the specification text.,
NR29,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,Y,,,,,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,Yes,No,Maybe,Y,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi",,"The specification text mentions electrically adjustable, foldable, and heated side mirrors.; The text mentions electrically adjustable, foldable, heated side mirrors, but not specifically the term ""Durvju spoguļi - elektriski/sildāmi.""; The text specifies that the side mirrors are electrically adjustable and heated.",X
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Yes,Yes,Y,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi","Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi","The specification text includes electrically adjustable, foldable, and heated side mirrors.; The specification explicitly mentions electrically adjustable, foldable, heated side mirrors.; The text mentions that the side mirrors are electrically adjustable, foldable, and heated.",X
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,No,No,N,,,The specification text does not mention mirrors with memory function.; The specification text does not mention mirrors with memory function.; There is no mention of side mirrors with memory function in the specification text.,
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Maybe,Maybe,No,Y,Gaismas asistents (Light Assist) ar lietus sensoru,Gaismas asistents (Light Assist) ar lietus sensoru,"The text mentions a light assistant with a rain sensor, which could imply automatic wipers, but it's not explicitly stated.; There is no mention of automatic front windshield wipers in the specification text.; The specification text does not mention automatic front windshield wipers.",X
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,N,,,There is no mention of tinted glass with privacy protection in the specification text.; The specification text does not mention tinted glass with privacy protection at the rear.; There is no mention of tinted glass with privacy protection at the rear in the specification text.,
NR35,Apsildāms vējstikls,N,No,No,No,N,,,The specification text does not mention a heated windshield.; There is no mention of a heated windshield in the specification text.; The specification text does not mention a heated windshield.,
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,No,No,N,,,There is no mention of electrically opening trunk doors in the specification text.; The specification text does not mention electrically opening trunk doors.; There is no mention of electrically opening trunk doors in the specification text.,
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,No,No,No,N,,,The specification text does not mention electrically opening trunk doors with hands-free control.; The specification text does not mention hands-free electrically opening trunk doors.; There is no mention of electrically opening trunk doors with hands-free control in the specification text.,
NR38,Jumta sliedes,N,Yes,Maybe,No,Y,"Jumta reliņi, melni (nav piejami Coupe)","Jumta reliņi, melni (nav piejami Coupe)","The text mentions roof rails, but it's not clear if they are standard or optional.; The specification mentions roof rails but does not specify if they are slats.; Roof rails are mentioned, but it's not clear if they are standard or optional.",X
NR39,Priekšējais bagāžnieks,N,No,No,No,N,,,There is no mention of a front trunk in the specification text.; The specification text does not mention a front trunk.; There is no mention of a front trunk in the specification text.,
NR40,Panorāmas jumts,N,Maybe,Yes,Yes,Y,Panorāmas stikla jumts ar tonētu stiklu (tikai Coupe),Panorāmas stikla jumts ar tonētu stiklu (tikai Coupe),"The specification text mentions a panoramic glass roof with tinted glass, but only for the Coupe.; The specification explicitly mentions a panoramic glass roof with tinted glass.; The text mentions a panoramic glass roof with tinted glass, although it's specified only for the Coupe.",X
NR41,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,,,,
NR42,Dienas gaitas lukturi - LED,N,Yes,Yes,Yes,Y,"Gaismas asistents (Light Assist) ar lietus sensoru, atkarībā no apstākļiem automātiski ieslēdz tuvās gaismas vai dienas gaitas lukturus",automātiski ieslēdz tuvās gaismas vai dienas gaitas lukturus,"The text mentions automatic switching to daytime running lights, implying LED.; The specification mentions the automatic activation of daytime running lights, which implies LED.; The text mentions automatic switching of daytime running lights, which implies LED.",X
NR43,Priekšējie miglas lukturi - LED,N,No,No,No,N,,,The specification text does not mention LED fog lights.; There is no mention of LED front fog lights in the specification text.; The specification text does not mention LED front fog lights.,
NR44,Priekšējie miglas lukturi – LED integrēti,N,No,No,No,N,,,The specification text does not mention integrated LED fog lights.; There is no mention of integrated LED front fog lights in the specification text.; The specification text does not mention LED front fog lights that are integrated.,
