Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR25,V2L funkcija,N,No,,No,,No (0Y/0M/3N),,No mention of V2L function in the specification text.; There is no mention of a V2L function in the specification text.; The specification text does not mention V2L (Vehicle-to-Load) functionality.,☐
NR26,Siltumsūknis,N,No,,No,,No (0Y/0M/3N),,No mention of a heat pump in the specification text.; The specification text does not mention a heat pump.; There is no mention of a heat pump in the specification text.,☐
NR27,Piedziņas Sistēma,Y,,,,,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,,No (0Y/0M/3N),,No mention of 4X4 full-time (4WD/AWD) in the specification text.; There is no mention of a 4X4 or full-time 4WD/AWD system in the specification text.; The specification text does not explicitly mention 4X4 full-time (4WD/AWD).,☐
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,,No (0Y/0M/3N),,No mention of metallic color as a standard option in the specification text.; The specification text does not mention metallic paint as a standard color option.; The specification text does not specify any standard metallic paint.,☐
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,Elektriski regulējami sānu spoguļi,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes (3Y/0M/0N),Apsildāmi un automātiski pielokāmi sānu spoguļi,"The specification mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" which translates to heated and automatically folding side mirrors.; The specification text mentions ""Elektriski regulējami sānu spoguļi,"" which translates to electrically adjustable side mirrors.; The text mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" which means heated and automatically folding side mirrors.",☑
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes (3Y/0M/0N),Apsildāmi un automātiski pielokāmi sānu spoguļi,"The specification mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" which translates to heated and automatically folding side mirrors.; The specification text mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" indicating electrically adjustable, heated, and foldable mirrors.; The text confirms electrically adjustable, heated, and folding side mirrors.",☑
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,,No (0Y/0M/3N),,No mention of side mirrors with memory function in the specification text.; There is no mention of side mirrors with memory function in the specification text.; The specification text does not mention side mirrors with memory function.,☐
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes (3Y/0M/0N),Automātiski stikla tīrītāji un lietus sensors,"The specification mentions ""Automātiski stikla tīrītāji un lietus sensors,"" which translates to automatic windshield wipers and rain sensor.; The specification text mentions ""Automātiski stikla tīrītāji un lietus sensors,"" which indicates automatic windshield wipers.; The text mentions ""Automātiski stikla tīrītāji,"" which means automatic windshield wipers.",☑
