=== LEARNING STATS ===
{
  "learned_features": 30,
  "learned_patterns": 4,
  "negative_examples": 2,
  "covered_codes": 30
}

=== CONSENSUS ATTEMPT 1 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions "220V elektrības padeves sistēma (V2L)", which directly corresponds to the V2L function.

NR26: Yes | "Siltumsūknis" | The specification text includes "Siltumsūknis", confirming the presence of a heat pump.

NR28: No | | The specification text does not mention 4X4, 4WD, or AWD, indicating that this feature is not specified.

NR30: Yes | "Metāliska krāsa" | The text specifies "Metāliska krāsa", confirming the presence of metallic paint.

NR32: Maybe | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text mentions electrically adjustable and heated mirrors, but it does not specify if they have memory, which is required for a definitive "Yes".

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text confirms that the mirrors are electrically adjustable, foldable, and heated.

NR34: No | | The specification does not mention mirrors with memory, so this feature is not confirmed.

NR35: Maybe | "Lietus sensors" | The presence of a rain sensor suggests automatic wipers, but it is not explicitly stated.

NR36: Yes | "Tonēti aizmugurējie stikli" | The text specifies "Tonēti aizmugurējie stikli", confirming tinted rear windows.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The text confirms an electrically operated tailgate.

NR39: No | | The specification text does not mention hands-free operation for the tailgate.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The text mentions a front trunk, confirming its presence.

NR42: Yes | "Panorāmas jumts" | The specification text includes "Panorāmas jumts", confirming a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The text specifies "LED dienas gaitas gaismas", confirming LED daytime running lights.

NR45: No | | The specification text does not mention LED fog lights.

NR46: No | | The specification text does not mention integrated LED fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The text confirms automatic headlight control with LED headlights.

NR48: Maybe | "Tālo gaismu asistents" | The presence of a high beam assistant suggests automatic high/low beam control, but it is not explicitly stated.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The text confirms the presence of LED headlights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free technology.

NR51: No | | The specification text does not mention adaptive LED headlights with Matrix or Glare Free technology.

NR53: No | | The specification text does not mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The text specifies dual-zone climate control, which implies electronic air temperature control (EATC).

NR55: No | | The specification text does not mention three-zone air conditioning.

NR56: Yes | "Gaisa kvalitātes uzlabotājs" | The text mentions an air quality enhancer, which can be considered a type of air purifier.

NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The text confirms ambient multi-color interior lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The text mentions a front central armrest with cup holders, confirming a central console with an armrest.

NR59: Yes | "Automātiski aptumšojošs atpakaļskata spogulis" | The text confirms an automatically dimming interior mirror.

NR60: No | | The specification text does not mention a 12V outlet in the luggage compartment.

NR61: Yes | "2 bezvadu viedtālruņu uzlāde" | The text specifies wireless charging for two smartphones.

NR63: No | | The specification text does not mention a touchscreen within the 6 - 7.9" range.

NR64: No | | The specification text does not mention a touchscreen within the 8 - 9.9" range.

NR65: No | | The specification text does not mention a touchscreen within the 10 - 11.9" range.

