=== LEARNING STATS ===
{
  "learned_features": 30,
  "learned_patterns": 4,
  "negative_examples": 2,
  "covered_codes": 30
}

=== CONSENSUS ATTEMPT 1 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text directly mentions "220V elektrības padeves sistēma (V2L)", which corresponds to the V2L function.

NR26: Yes | "Siltumsūknis" | The term "Siltumsūknis" is explicitly mentioned in the specification text, confirming the presence of a heat pump.

NR28: No | | The specification text does not mention any 4X4, 4WD, or AWD system.

NR30: Yes | "Metāliska krāsa" | The specification text includes "Metāliska krāsa", indicating that metallic paint is a standard feature.

NR32: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text confirms that the mirrors are electrically adjustable and heated.

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text mentions that the mirrors are electrically adjustable, foldable, and heated.

NR34: No | | The specification text does not mention memory function for the mirrors.

NR35: Maybe | "Lietus sensors" | The presence of a rain sensor suggests the possibility of automatic wipers, but it is not explicitly stated.

NR36: Yes | "Tonēti aizmugurējie stikli" | The specification text mentions "Tonēti aizmugurējie stikli", indicating tinted rear windows.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The specification text confirms the presence of an electrically operated trunk lid.

NR39: No | | The specification text does not mention hands-free operation for the trunk lid.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The specification text includes "Priekšējais bagāžas nodalījums", indicating a front trunk.

NR42: Yes | "Panorāmas jumts" | The specification text explicitly mentions "Panorāmas jumts", confirming the presence of a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The specification text mentions "LED dienas gaitas gaismas", confirming LED daytime running lights.

NR45: No | | The specification text does not mention LED fog lights.

NR46: No | | The specification text does not mention integrated LED fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The specification text mentions "LED automātiskie priekšējie lukturi", indicating automatic headlight control.

NR48: Yes | "Tālo gaismu asistents" | The specification text includes "Tālo gaismu asistents", which suggests automatic high/low beam control.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The specification text confirms the presence of LED headlights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free.

NR51: No | | The specification text does not mention adaptive LED headlights with Matrix or Glare Free.

NR53: No | | The specification text does not mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The specification text mentions "Divzonu klimata kontrole", indicating a two-zone electronic automatic temperature control system.

NR55: No | | The specification text does not mention a three-zone climate control system.

NR56: Maybe | "Gaisa kvalitātes uzlabotājs" | The specification text mentions a "Gaisa kvalitātes uzlabotājs", which might imply an air purifier, but it is not explicitly stated.

NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The specification text confirms the presence of multi-color ambient interior lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The specification text mentions a front center armrest with cup holders, indicating a central console with an armrest.

NR59: Yes | "Automātiski aptumšojošs atpakaļskata spogulis" | The specification text confirms the presence of an automatically dimming interior mirror.

NR60: No | | The specification text does not mention a 12V outlet in the luggage compartment.

NR61: Yes | "2 bezvadu viedtālruņu uzlāde" | The specification text mentions wireless charging for two smartphones.

NR63: No | | The specification text does not mention a touchscreen of 6 - 7.9 inches.

NR64: No | | The specification text does not mention a touchscreen of 8 - 9.9 inches.

NR65: No | | The specification text does not mention a touchscreen of 10 - 11.9 inches.

NR66: Yes | "15,6" rotējams skārienjutīgs multimēdiju ekrāns" | The specification text mentions a 15.6-inch rotating touchscreen multimedia display.

NR67: Yes | "Dynaudio skaņas sistēma" | The specification text confirms the presence of a branded audio system by Dynaudio.

NR68: No | | The specification text does not mention a navigation center.

NR69: No | | The specification text does not mention a connected navigation center.

NR70: Yes | "Android Auto un Apple Car Play" | The specification text confirms the presence of Android Auto and Apple CarPlay.

NR71: No | | The specification text does not mention wireless Android Auto and Apple CarPlay.

NR72: Maybe | "Inteliģents balss vadības sistēma - 'Hi, BYD'" | The specification text mentions an intelligent voice control system, which might imply an AI assistant, but it's not explicitly stated.

NR73: Yes | "Head-up displejs" | The specification text confirms the presence of a head-up display.

NR75: Yes | "Multifunkcionāla stūre ar Eco ādas apdari un apsildi" | The specification text mentions a multifunction steering wheel with heating.

NR76: No | | The specification text does not mention a leather steering wheel.

NR77: No | | The specification text does not mention a digital display up to 8.9 inches.

NR78: No | | The specification text does not mention a digital display of 9 - 11.9 inches.

NR79: Yes | "10,25" digitāls instrumentu panelis" | The specification text mentions a 10.25-inch digital instrument panel.

NR81: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The specification text confirms heated front seats.

NR82: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The specification text confirms heated front seats, which includes the passenger seat.

NR83: No | | The specification text does not mention heated rear seats.

NR84: No | | The specification text does not mention manual lumbar adjustment for the driver's seat.

NR85: No | | The specification text does not mention manual lumbar adjustment for the passenger seat.

NR86: No | | The specification text does not mention electric lumbar adjustment for the driver's seat.

NR87: No | | The specification text does not mention electric lumbar adjustment for the passenger seat.

NR88: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The specification text confirms electrically adjustable front seats, which includes the driver's seat.

NR89: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The specification text confirms electrically adjustable front seats, which includes the passenger seat.

NR90: Yes | "ar atmiņu regulējams vadītāja sēdeklis" | The specification text mentions a memory function for the driver's seat.

