=== LEARNING STATS ===
{
  "learned_features": 30,
  "learned_patterns": 4,
  "negative_examples": 2,
  "covered_codes": 30
}

=== CONSENSUS ATTEMPT 1 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions a "220V elektrības padeves sistēma (V2L)", which confirms the presence of the V2L function.

NR26: Yes | "Siltumsūknis" | The specification text includes "Siltumsūknis", directly confirming the presence of a heat pump.

NR28: No | | The specification text does not mention "4X4 pilna laika (4WD / AWD)" or any related terms indicating all-wheel or four-wheel drive capabilities.

NR30: Yes | "Metāliska krāsa" | The specification text mentions "Metāliska krāsa", confirming the presence of metallic paint as a standard feature.

NR32: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text confirms the mirrors are electrically adjustable and heated.

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text confirms the mirrors are electrically adjustable, foldable, and heated.

NR34: No | | The specification text does not mention mirrors with memory function.

NR35: Maybe | "Lietus sensors" | The presence of a rain sensor suggests automatic wiper functionality, but it's not explicitly stated.

NR36: Yes | "Tonēti aizmugurējie stikli" | The text confirms tinted rear windows, which implies privacy protection.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The text confirms the presence of an electric tailgate.

NR39: No | | The specification text does not mention hands-free operation for the tailgate.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The text explicitly mentions a front trunk.

NR42: Yes | "Panorāmas jumts" | The text confirms the presence of a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The text confirms the presence of LED daytime running lights.

NR45: No | | The specification text does not mention LED front fog lights.

NR46: No | | The specification text does not mention integrated LED front fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The text confirms automatic control of the headlights.

NR48: Maybe | "Tālo gaismu asistents" | This suggests automatic high/low beam functionality, but it's not explicitly stated.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The text confirms the presence of LED headlights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free.

NR51: No | | The specification text does not mention adaptive LED headlights with Matrix or Glare Free.

NR53: No | | The specification text does not mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The text confirms dual-zone climate control, which implies EATC 2 zones.

NR55: No | | The specification text does not mention EATC 3 zones.

NR56: Maybe | "Gaisa kvalitātes uzlabotājs" | This suggests some form of air purification, but it's not explicitly stated as a purifier.

