Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason,Accepted
NR26,Automātiskā pārnesumkārba,N,No,Uz stūres rata lāpstiņveida pārnesumi automobiļiem ar automātisko transmisiju,"The specification text does not mention ""Automātiskā pārnesumkārba"" or any automatic transmission.; The specification text does not mention an automatic transmission.; The specification text does not mention ""Automātiskā pārnesumkārba"".",X
NR29,FHEV,N,No,Elektriskās braukšanas režīma slēdzis (pieejams tikai hibrīda versijai),"The specification text does not mention ""FHEV"" or any full hybrid electric vehicle technology.; The specification text does not mention a full hybrid electric vehicle (FHEV).; The specification text does not mention ""FHEV"".",X
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text mentions heated and automatically folding side mirrors, which implies they are electrically adjustable, but ""Elektriski/sildāmi"" is not explicitly confirmed.; The text specifies that the side mirrors are heated and can fold automatically.; The text mentions electrically adjustable and heated side mirrors.",X
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text explicitly states ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" confirming electrically adjustable, heated, and folding mirrors.; The text specifies that the side mirrors are heated and can fold automatically, which covers this feature.; The text mentions electrically adjustable, heated, and foldable side mirrors.",X
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,"The text explicitly mentions ""Automātiski stikla tīrītāji,"" confirming automatic front windshield wipers.; The specification text mentions automatic windshield wipers.; The text mentions automatic windshield wipers.",X
NR43,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,"The text explicitly mentions ""LED dienas apgaismojuma lukturi,"" confirming LED daytime running lights.; The specification text mentions LED daytime running lights.; The text mentions LED daytime running lights.",X
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Inteliģentie automātiskie priekšējie lukturi,"The text mentions ""Inteliģentie automātiskie priekšējie lukturi,"" which implies automatic control for headlights.; The specification text mentions intelligent automatic front lights, which implies automatic on/off control.; The text mentions intelligent automatic headlights, which implies automatic on/off control.",X
NR48,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,"The text explicitly mentions ""LED priekšējie lukturi,"" confirming LED front headlights.; The specification text mentions LED front lights.; The text mentions LED front headlights.",X
NR52,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,"The text explicitly mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" confirming the presence of an air conditioning system.; The specification text mentions an automatic air conditioning system.; The text mentions an automatic air conditioning system.",X
NR58,Centrālā konsole ar roku balstu,N,Yes,Priekšējais elkoņbalsts,"The text mentions ""Priekšējais elkoņbalsts,"" confirming the presence of a front armrest, which is part of the central console.; The specification text mentions a front armrest, which is part of the central console.; The text mentions a front armrest, which is part of the central console.",X
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 6 - 7.9"" range.; The text mentions a 12.3"" touchscreen, which falls within the range of 6 - 7.9"".",X
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Maybe,"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 12+"" range.; The specification text does not mention a touchscreen within the range of 12 - "".",X
NR70,Android Auto un Apple CarPlay,N,Maybe,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" which implies the presence of Android Auto and Apple CarPlay, but not explicitly as a combined feature.; The specification text mentions both wireless Apple CarPlay and Android Auto.; The text mentions both Android Auto and Apple CarPlay.",X
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text explicitly mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" confirming wireless Android Auto and Apple CarPlay.; The specification text specifies wireless versions of both Apple CarPlay and Android Auto.; The text mentions wireless Android Auto and Apple CarPlay.",X
NR73,Avārijas zvans,N,Yes,Ārkārtas un avārijas izsaukums (e Call),"The text explicitly mentions ""Ārkārtas un avārijas izsaukums (e Call),"" confirming an emergency call feature.; The specification text mentions an emergency and breakdown call (e Call).; The text mentions an emergency call feature.",X
NR80,"Digitālais displejs 12+""",N,Yes,,"The text mentions ""12,3"" skārienekrāns,"" which can be considered a digital display of 12+ inches.; The specification text mentions a 12.3"" touchscreen, which implies a digital display of 12+"".; The text mentions a 7"" color modern driver assistance system display, which is not within the range of 12+"".",X
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the driver's seat.; The specification text mentions heated front seats, which includes the driver's seat.; The text mentions heated front seats, which includes the driver's seat.",X
NR83,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the passenger seat.; The specification text mentions heated front seats, which includes the passenger's seat.; The text mentions heated front seats, which includes the passenger's seat.",X
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,Maybe,Monoformas sporta stila sēdekļi ar melnu auduma apdari,"The specification text does not mention ""Sēdekļu apdare – audums/sintētiskā āda"" or fabric/synthetic leather upholstery.; The specification text mentions seats with black fabric upholstery.; There is no mention of ""Sēdekļu apdare – audums/sintētiskā āda"" in the specification text.",X
NR100,Kruīza kontrole,N,Yes,Kruīza kontrole ar ātruma ierobežotāju,"The text explicitly mentions ""Kruīza kontrole ar ātruma ierobežotāju,"" confirming cruise control with a speed limiter.; The specification text mentions cruise control with a speed limiter.; The text mentions cruise control with a speed limiter.",X
NR107,Kamera - aizmugurējais skats,N,Yes,Atpakaļskata kamera,"The text explicitly mentions ""Atpakaļskata kamera,"" confirming a rearview camera.; The specification text mentions a rearview camera.; The text mentions a rearview camera.",X
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"The text explicitly mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" confirming AEBS with pedestrian and cyclist detection.; The specification text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.; The text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.",X
NR113,Stāvbremze – elektriska,N,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"The text explicitly mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" confirming an electric parking brake.; The specification text mentions an electronic handbrake with an automatic parking brake function.; The text mentions an electronic parking brake with an automatic parking brake function.",X
