Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR23,— PIEDZIŅA —,Y,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,N,,"There is no mention of ""4X4 pilna laika (4WD / AWD)"" in the specification text.; The specification text does not mention 4X4, 4WD, or AWD systems.; There is no mention of a 4X4 full-time (4WD / AWD) system in the specification text.",
NR25,— PĀRNESUMKĀRBA —,Y,,,,,
NR26,Automātiskā pārnesumkārba,N,No,Y,Uz stūres rata lāpstiņveida pārnesumi automobiļiem ar automātisko transmisiju,"The specification text does not mention ""Automātiskā pārnesumkārba"" or automatic transmission.; The specification text does not mention an automatic transmission.; The specification text does not mention an automatic transmission.",X
NR27,— HIBRĪDA TEHNOLOĢIJA —,Y,,,,,
NR28,mHEV,N,No,N,,"The specification text does not mention ""mHEV"" or mild hybrid electric vehicle.; The specification text does not mention a mild hybrid electric vehicle (mHEV).; The term mHEV is not mentioned in the specification text.",
NR29,FHEV,N,No,Y,Elektriskās braukšanas režīma slēdzis (pieejams tikai hibrīda versijai),"The specification text does not mention ""FHEV"" or full hybrid electric vehicle.; The specification text does not mention a full hybrid electric vehicle (FHEV).; The term FHEV is not mentioned in the specification text.",X
NR30,PHEV,N,No,N,,"The specification text does not mention ""PHEV"" or plug-in hybrid electric vehicle.; The specification text does not mention a plug-in hybrid electric vehicle (PHEV).; The term PHEV is not mentioned in the specification text.",
NR31,— KRĀSA —,Y,,,,,
NR32,Metāliska krāsa kā standarts,N,No,N,,"There is no mention of ""Metāliska krāsa kā standarts"" or metallic paint as standard in the specification text.; The specification text does not mention metallic paint as standard.; The specification text does not mention metallic paint as a standard feature.",
NR33,— ĀRĒJAIS IZSKATS -  FUNKCIONĀLS —,Y,,,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,Y,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The specification mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" which translates to heated and automatically folding side mirrors, indicating they are electrically adjustable and heated.; The specification text mentions ""Elektriski regulējami sānu spoguļi"" (Electrically adjustable side mirrors) and ""Apsildāmi un automātiski pielokāmi sānu spoguļi"" (Heated and automatically folding side mirrors), but not the specific combination of ""electric/heated"" only.; The specification text mentions electrically adjustable and heated side mirrors.",X
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Y,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The specification mentions ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" which translates to heated and automatically folding side mirrors, indicating they are electrically adjustable, heated, and foldable.; The specification text explicitly mentions heated and automatically folding side mirrors.; The specification text mentions electrically adjustable, heated, and foldable side mirrors.",X
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Y,Automātiski stikla tīrītāji un lietus sensors,"The specification includes ""Automātiski stikla tīrītāji un lietus sensors,"" which translates to automatic windshield wipers and rain sensor, indicating automatic operation.; The specification text mentions automatic windshield wipers.; The specification text mentions automatic windshield wipers.",X
