Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR23,Piedziņa,Y,,,,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""4X4 pilna laika (4WD / AWD)"" or any similar full-time four-wheel drive system.; There is no mention of a 4X4 or full-time (4WD/AWD) system in the specification text.; There is no mention of ""4X4 pilna laika (4WD / AWD)"" in the specification text.",☐
NR25,Pārnesumkārba,Y,,,,,,,,
NR26,Automātiskā pārnesumkārba,N,No,,Maybe,Uz stūres rata lāpstiņveida pārnesumi automobiļiem ar automātisko transmisiju,No (0Y/0M/3N),,"The specification text does not mention ""Automātiskā pārnesumkārba"" or any automatic transmission.; The specification text does not mention an automatic transmission.; The specification text does not mention ""Automātiskā pārnesumkārba"".",☑
NR27,Hibrīda Tehnoloģija,Y,,,,,,,,
NR28,mHEV,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""mHEV"" or any mild hybrid electric vehicle technology.; There is no mention of a mild hybrid electric vehicle (mHEV) in the specification text.; There is no mention of ""mHEV"" in the specification text.",☐
NR29,FHEV,N,Maybe,Elektriskās braukšanas režīma slēdzis (pieejams tikai hibrīda versijai),No,,No (0Y/0M/3N),,"The specification text does not mention ""FHEV"" or any full hybrid electric vehicle technology.; The specification text does not mention a full hybrid electric vehicle (FHEV).; The specification text does not mention ""FHEV"".",☑
NR30,PHEV,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""PHEV"" or any plug-in hybrid electric vehicle technology.; There is no mention of a plug-in hybrid electric vehicle (PHEV) in the specification text.; There is no mention of ""PHEV"" in the specification text.",☐
NR31,Krāsa,Y,,,,,,,,
NR32,Metāliska krāsa kā standarts,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Metāliska krāsa kā standarts"" or metallic paint as a standard feature.; The specification text does not mention metallic paint as a standard feature.; The specification text does not mention ""Metāliska krāsa kā standarts"".",☐
NR33,Ārējais Izskats -  Funkcionāls,Y,,,,,,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Elektriski regulējami sānu spoguļi,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Maybe (2Y/1M/0N),Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text mentions heated and automatically folding side mirrors, which implies they are electrically adjustable, but ""Elektriski/sildāmi"" is not explicitly confirmed.; The text specifies that the side mirrors are heated and can fold automatically.; The text mentions electrically adjustable and heated side mirrors.",☑
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes (3Y/0M/0N),Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text explicitly states ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" confirming electrically adjustable, heated, and folding mirrors.; The text specifies that the side mirrors are heated and can fold automatically, which covers this feature.; The text mentions electrically adjustable, heated, and foldable side mirrors.",☑
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes (3Y/0M/0N),Automātiski stikla tīrītāji un lietus sensors,"The text explicitly mentions ""Automātiski stikla tīrītāji,"" confirming automatic front windshield wipers.; The specification text mentions automatic windshield wipers.; The text mentions automatic windshield wipers.",☑
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Stikls - tonēts ar privātuma aizsardzību aizmugurē"" or tinted glass with privacy protection at the rear.; There is no mention of tinted glass with privacy protection in the rear in the specification text.; The specification text does not mention ""Stikls - tonēts ar privātuma aizsardzību aizmugurē"".",☐
NR38,Sildāms vējstikls,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Sildāms vējstikls"" or a heated windshield.; The specification text does not mention a heated windshield.; There is no mention of ""Sildāms vējstikls"" in the specification text.",☐
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Bagāžnieka durvis - elektriski atveramas"" or electrically opening trunk doors.; There is no mention of electrically opening trunk doors in the specification text.; The specification text does not mention ""Bagāžnieka durvis - elektriski atveramas"".",☐
NR40,Jumta sliedes,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Jumta sliedes"" or roof rails.; The specification text does not mention roof rails.; There is no mention of ""Jumta sliedes"" in the specification text.",☐
NR41,Panorāmas jumts,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Panorāmas jumts"" or a panoramic roof.; There is no mention of a panoramic roof in the specification text.; The specification text does not mention ""Panorāmas jumts"".",☐
NR42,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Yes,LED dienas apgaismojuma lukturi,Yes (3Y/0M/0N),LED dienas apgaismojuma lukturi,"The text explicitly mentions ""LED dienas apgaismojuma lukturi,"" confirming LED daytime running lights.; The specification text mentions LED daytime running lights.; The text mentions LED daytime running lights.",☑
NR44,Priekšējie miglas lukturi - LED,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Priekšējie miglas lukturi - LED"" or any LED front fog lights.; The specification text does not mention LED front fog lights.; The specification text does not mention ""Priekšējie miglas lukturi - LED"".",☐
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Priekšējie miglas lukturi – LED integrēti"" or integrated LED front fog lights.; The specification text does not mention LED front fog lights that are integrated.; There is no mention of ""Priekšējie miglas lukturi – LED integrēti"" in the specification text.",☐
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,No,,Yes,Inteliģentie automātiskie priekšējie lukturi,Yes (3Y/0M/0N),Inteliģentie automātiskie priekšējie lukturi,"The text mentions ""Inteliģentie automātiskie priekšējie lukturi,"" which implies automatic control for headlights.; The specification text mentions intelligent automatic front lights, which implies automatic on/off control.; The text mentions intelligent automatic headlights, which implies automatic on/off control.",☑
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No,,No (0Y/1M/2N),Inteliģentie automātiskie priekšējie lukturi,"The specification text does not mention ""Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas"" or automatic headlight control with high/low beam switching.; The text mentions intelligent automatic front lights but does not specify if it includes high/low beam control.; The specification text does not mention both automatic on/off and high/low beam control.",☐
NR48,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Yes,LED priekšējie lukturi,Yes (3Y/0M/0N),LED priekšējie lukturi,"The text explicitly mentions ""LED priekšējie lukturi,"" confirming LED front headlights.; The specification text mentions LED front lights.; The text mentions LED front headlights.",☑
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free"" or adaptive LED headlights without Matrix or Glare Free technology.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free features.; The specification text does not mention ""Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free"".",☐
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free"" or adaptive LED headlights with Matrix or Glare Free technology.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free features.; There is no mention of ""Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free"" in the specification text.",☐
NR51,Interjers – Komforts/Ērtības,Y,,,,,,,,
NR52,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),Automātiskā gaisa kondicionēšanas sistēma,"The text explicitly mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" confirming the presence of an air conditioning system.; The specification text mentions an automatic air conditioning system.; The text mentions an automatic air conditioning system.",☑
NR53,Gaisa kondicionētājs - EATC 1 zona,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Gaisa kondicionētājs - EATC 1 zona"" or a single-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 1 zone air conditioning system.; The specification text does not mention ""Gaisa kondicionētājs - EATC 1 zona"".",☐
