=== LEARNING STATS ===
{
  "learned_features": 30,
  "learned_patterns": 4,
  "negative_examples": 2,
  "covered_codes": 30
}

=== CONSENSUS ATTEMPT 1 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions a "220V elektrības padeves sistēma (V2L)", which directly corresponds to the V2L function.

NR26: Yes | "Siltumsūknis" | The specification text includes the term "Siltumsūknis", confirming its presence.

NR28: No | | The specification text does not mention "4X4 pilna laika (4WD / AWD)" or any related terms indicating a four-wheel-drive system.

NR30: Yes | "Metāliska krāsa" | The specification text mentions "Metāliska krāsa", confirming that metallic paint is a standard feature.

NR32: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text confirms that the mirrors are electrically adjustable and heated.

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text confirms that the mirrors are electrically adjustable, foldable, and heated.

NR34: No | | The specification text does not mention mirrors with memory function.

NR35: Yes | "Lietus sensors" | The presence of a rain sensor implies automatic windshield wipers.

NR36: Yes | "Tonēti aizmugurējie stikli" | The text mentions tinted rear windows, which implies privacy protection.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The text confirms electrically operated trunk doors.

NR39: No | | The specification text does not mention hands-free operation for the trunk doors.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The text explicitly mentions a front trunk.

NR42: Yes | "Panorāmas jumts" | The specification text mentions a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The text confirms the presence of LED daytime running lights.

NR45: No | | The specification text does not mention LED fog lights.

NR46: No | | The specification text does not mention integrated LED fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The text confirms automatic control of the front lights.

NR48: Maybe | "Tālo gaismu asistents" | The presence of a high beam assistant suggests automatic high/low beam control, but it's not explicitly stated.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The text confirms the presence of LED front lights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free.

NR51: No | | The specification text does not mention adaptive LED headlights with Matrix or Glare Free.

NR53: No | | The specification text does not mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The text confirms a dual-zone climate control system, which implies electronic air temperature control (EATC).

NR55: No | | The specification text does not mention a three-zone air conditioning system.

NR56: No | | The specification text does not mention a cabin air purifier.

NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The text confirms the presence of multi-color ambient interior lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The text confirms a central console with an armrest.

