Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR23,Piedziņa,Y,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,,No equivalent 4WD/AWD feature found
NR25,Pārnesumkārba,Y,,,
NR26,Automātiskā pārnesumkārba,N,No,,No equivalent automatic transmission feature found
NR27,Hibrīda Tehnoloģija,Y,,,
NR28,mHEV,N,No,,No equivalent mHEV feature found
NR29,FHEV,N,No,,No equivalent FHEV feature found
NR30,PHEV,N,No,,No equivalent PHEV feature found
NR31,Krāsa,Y,,,
NR32,Metāliska krāsa kā standarts,N,No,,No equivalent metallic paint feature found
NR33,Ārējais Izskats -  Funkcionāls,Y,,,
NR34,Durvju spoguļi - elektriski/sildāmi,N,Yes,Electrically adjustable side mirrors with turn indicator,Matches electric adjustment
NR35,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Heated and automatically folding side mirrors,"Matches electric, heated, and folding"
NR36,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Automatic windshield wipers and rain sensor,Matches automatic wipers
NR37,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent tinted glass feature found
NR38,Apsildāms vējstikls,N,No,,No equivalent heated windshield feature found
NR39,Bagāžnieka durvis – Elektriski atveramas,N,No,,No equivalent electric tailgate feature found
NR40,Jumta sliedes,N,No,,No equivalent roof rails feature found
NR41,Panorāmas jumts,N,No,,No equivalent panoramic roof feature found
NR42,Ārējais Izskats -  Apgaismojums,Y,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,LED daytime running lights,Matches LED daytime lights
NR44,Priekšējie miglas lukturi,N,No,,No equivalent front fog lights feature found
NR45,Priekšējie miglas lukturi - LED,N,No,,No equivalent LED front fog lights feature found
NR46,Galveno lukturu vadība - Automātiska,N,Yes,Intelligent automatic front headlights,Matches automatic headlight control
NR47,Galveno lukturu vadība - Automātisks tālās/tuvās gaismas stars,N,No,,No equivalent automatic high/low beam feature found
NR48,Galvenie lukturi - LED,N,Yes,LED front headlights,Matches LED headlights
NR49,Aizmugurējie lukturi - LED,N,No,,No equivalent rear LED lights feature found
NR50,Interjers -  Komforts/Ērtības,Y,,,
