Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR30,Piedziņa,Y,,,
NR31,4X4 Full time (4WD / AWD),N,No,,No equivalent 4WD/AWD feature found
NR32,Pārnesumkārba,Y,,,
NR33,Automātiskā pārnesumkārba,N,No,,No equivalent automatic transmission feature found
NR34,Hibrīda Tehnoloģija,Y,,,
NR35,mHEV,N,No,,No equivalent mHEV feature found
NR36,FHEV,N,No,,No equivalent FHEV feature found
NR37,PHEV,N,No,,No equivalent PHEV feature found
NR38,Krāsa,Y,,,
NR39,Metāliska krāsa kā standarts,N,No,,No equivalent metallic paint feature found
NR40,Ārējais Izskats -  Funkcionalitāte,Y,,,
NR41,Durvju spoguļi - elektriski/sildāmi,N,Yes,"Electrically adjustable, foldable, heated side mirrors",Matches electrically adjustable and heated mirrors
NR42,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,"Electrically adjustable, foldable, heated side mirrors","Matches electrically adjustable, foldable, and heated mirrors"
NR43,Priekšējie vējstikla tīrītāji - automātiski,N,No,,No equivalent automatic windshield wipers feature found
NR44,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent tinted glass feature found
NR45,Sildāms vējstikls,N,No,,No equivalent heated windshield feature found
NR46,Bagāžnieka durvis - elektriskas,N,No,,No equivalent electric trunk feature found
NR47,Jumta sliedes,N,No,,No equivalent roof rails feature found
NR48,Panorāmas jumts,N,Yes,Panoramic glass roof with tinted glass (only for Coupe),Matches panoramic roof
NR49,Ārējais Izskats -  Apgaismojums,Y,,,
NR50,Dienas gaismas - LED,N,No,,No equivalent LED daytime running lights feature found
NR51,Priekšējie miglas lukturi - LED,N,No,,No equivalent LED fog lights feature found
NR52,Priekšējie miglas lukturi - LED integrēti,N,No,,No equivalent integrated LED fog lights feature found
NR53,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana,N,No,,No equivalent automatic headlight control feature found
NR54,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,Yes,"Light Assist with rain sensor, automatically switching between low beam and daytime running lights depending on conditions",Matches automatic headlight control with high/low beam switching
NR55,Priekšējie lukturi - LED,N,Yes,LED front and rear lights,Matches LED front lights
NR56,Priekšējie lukturi - adaptīvie LED bez Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlights feature found
NR57,Priekšējie lukturi - adaptīvie LED ar Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlights with Matrix feature found
NR58,Interjers -  Komforts/Ērtības,Y,,,
NR59,Gaisa kondicionētājs,N,No,,No equivalent air conditioning feature found
NR60,Gaisa kondicionētājs - EATC 1 zona,N,No,,No equivalent 1-zone EATC feature found
NR61,Gaisa kondicionētājs - EATC 2 zonas,N,No,,No equivalent 2-zone EATC feature found
NR62,Gaisa kondicionētājs - EATC 3 zonas,N,Yes,3-zone climate control (Climatronic),Matches 3-zone EATC
