Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR23,— PIEDZIŅA —,Y,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,N,,"The specification text does not mention ""4X4 pilna laika (4WD / AWD)"" or any similar full-time four-wheel drive system.; There is no mention of a 4X4 or full-time (4WD/AWD) system in the specification text.; There is no mention of ""4X4 pilna laika (4WD / AWD)"" in the specification text.",
NR25,— PĀRNESUMKĀRBA —,Y,,,,,
NR26,Automātiskā pārnesumkārba,N,No,Y,Uz stūres rata lāpstiņveida pārnesumi automobiļiem ar automātisko transmisiju,"The specification text does not mention ""Automātiskā pārnesumkārba"" or any automatic transmission.; The specification text does not mention an automatic transmission.; The specification text does not mention ""Automātiskā pārnesumkārba"".",X
NR27,— HIBRĪDA TEHNOLOĢIJA —,Y,,,,,
NR28,mHEV,N,No,N,,"The specification text does not mention ""mHEV"" or any mild hybrid electric vehicle technology.; There is no mention of a mild hybrid electric vehicle (mHEV) in the specification text.; There is no mention of ""mHEV"" in the specification text.",
NR29,FHEV,N,No,Y,Elektriskās braukšanas režīma slēdzis (pieejams tikai hibrīda versijai),"The specification text does not mention ""FHEV"" or any full hybrid electric vehicle technology.; The specification text does not mention a full hybrid electric vehicle (FHEV).; The specification text does not mention ""FHEV"".",X
NR30,PHEV,N,No,N,,"The specification text does not mention ""PHEV"" or any plug-in hybrid electric vehicle technology.; There is no mention of a plug-in hybrid electric vehicle (PHEV) in the specification text.; There is no mention of ""PHEV"" in the specification text.",
NR31,— KRĀSA —,Y,,,,,
NR32,Metāliska krāsa kā standarts,N,No,N,,"The specification text does not mention ""Metāliska krāsa kā standarts"" or metallic paint as a standard feature.; The specification text does not mention metallic paint as a standard feature.; The specification text does not mention ""Metāliska krāsa kā standarts"".",
NR33,— ĀRĒJAIS IZSKATS -  FUNKCIONĀLS —,Y,,,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,Y,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text mentions heated and automatically folding side mirrors, which implies they are electrically adjustable, but ""Elektriski/sildāmi"" is not explicitly confirmed.; The text specifies that the side mirrors are heated and can fold automatically.; The text mentions electrically adjustable and heated side mirrors.",X
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Y,Apsildāmi un automātiski pielokāmi sānu spoguļi,"The text explicitly states ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" confirming electrically adjustable, heated, and folding mirrors.; The text specifies that the side mirrors are heated and can fold automatically, which covers this feature.; The text mentions electrically adjustable, heated, and foldable side mirrors.",X
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Y,Automātiski stikla tīrītāji un lietus sensors,"The text explicitly mentions ""Automātiski stikla tīrītāji,"" confirming automatic front windshield wipers.; The specification text mentions automatic windshield wipers.; The text mentions automatic windshield wipers.",X
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,N,,"The specification text does not mention ""Stikls - tonēts ar privātuma aizsardzību aizmugurē"" or tinted glass with privacy protection at the rear.; There is no mention of tinted glass with privacy protection in the rear in the specification text.; The specification text does not mention ""Stikls - tonēts ar privātuma aizsardzību aizmugurē"".",
NR38,Sildāms vējstikls,N,No,N,,"The specification text does not mention ""Sildāms vējstikls"" or a heated windshield.; The specification text does not mention a heated windshield.; There is no mention of ""Sildāms vējstikls"" in the specification text.",
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,N,,"The specification text does not mention ""Bagāžnieka durvis - elektriski atveramas"" or electrically opening trunk doors.; There is no mention of electrically opening trunk doors in the specification text.; The specification text does not mention ""Bagāžnieka durvis - elektriski atveramas"".",
NR40,Jumta sliedes,N,No,N,,"The specification text does not mention ""Jumta sliedes"" or roof rails.; The specification text does not mention roof rails.; There is no mention of ""Jumta sliedes"" in the specification text.",
NR41,Panorāmas jumts,N,No,N,,"The specification text does not mention ""Panorāmas jumts"" or a panoramic roof.; There is no mention of a panoramic roof in the specification text.; The specification text does not mention ""Panorāmas jumts"".",
NR42,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,Y,LED dienas apgaismojuma lukturi,"The text explicitly mentions ""LED dienas apgaismojuma lukturi,"" confirming LED daytime running lights.; The specification text mentions LED daytime running lights.; The text mentions LED daytime running lights.",X
NR44,Priekšējie miglas lukturi - LED,N,No,N,,"The specification text does not mention ""Priekšējie miglas lukturi - LED"" or any LED front fog lights.; The specification text does not mention LED front fog lights.; The specification text does not mention ""Priekšējie miglas lukturi - LED"".",
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,N,,"The specification text does not mention ""Priekšējie miglas lukturi – LED integrēti"" or integrated LED front fog lights.; The specification text does not mention LED front fog lights that are integrated.; There is no mention of ""Priekšējie miglas lukturi – LED integrēti"" in the specification text.",
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Y,Inteliģentie automātiskie priekšējie lukturi,"The text mentions ""Inteliģentie automātiskie priekšējie lukturi,"" which implies automatic control for headlights.; The specification text mentions intelligent automatic front lights, which implies automatic on/off control.; The text mentions intelligent automatic headlights, which implies automatic on/off control.",X
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,N,,"The specification text does not mention ""Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas"" or automatic headlight control with high/low beam switching.; The text mentions intelligent automatic front lights but does not specify if it includes high/low beam control.; The specification text does not mention both automatic on/off and high/low beam control.",
NR48,Priekšējie lukturi – LED,N,Yes,Y,LED priekšējie lukturi,"The text explicitly mentions ""LED priekšējie lukturi,"" confirming LED front headlights.; The specification text mentions LED front lights.; The text mentions LED front headlights.",X
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,N,,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free"" or adaptive LED headlights without Matrix or Glare Free technology.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free features.; The specification text does not mention ""Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free"".",
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,N,,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free"" or adaptive LED headlights with Matrix or Glare Free technology.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free features.; There is no mention of ""Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free"" in the specification text.",
NR51,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR52,Gaisa kondicionētājs,N,Yes,Y,Automātiskā gaisa kondicionēšanas sistēma,"The text explicitly mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" confirming the presence of an air conditioning system.; The specification text mentions an automatic air conditioning system.; The text mentions an automatic air conditioning system.",X
NR53,Gaisa kondicionētājs - EATC 1 zona,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 1 zona"" or a single-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 1 zone air conditioning system.; The specification text does not mention ""Gaisa kondicionētājs - EATC 1 zona"".",
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 2 zonas"" or a dual-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 2 zone air conditioning system.; There is no mention of ""Gaisa kondicionētājs - EATC 2 zonas"" in the specification text.",
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 3 zonas"" or a three-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 3 zone air conditioning system.; The specification text does not mention ""Gaisa kondicionētājs - EATC 3 zonas"".",
NR56,Salona gaisa attīrītājs,N,No,N,,"The specification text does not mention ""Salona gaisa attīrītājs"" or an air purifier for the cabin.; There is no mention of a cabin air purifier in the specification text.; There is no mention of ""Salona gaisa attīrītājs"" in the specification text.",
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,N,,"The specification text does not mention ""Apgaismojums - salons ar daudzkrāsu LED"" or multi-color LED interior lighting.; The specification text does not mention multi-color LED interior lighting.; The specification text does not mention ""Apgaismojums - salons ar daudzkrāsu LED"".",
NR58,Centrālā konsole ar roku balstu,N,Yes,Y,Priekšējais elkoņbalsts,"The text mentions ""Priekšējais elkoņbalsts,"" confirming the presence of a front armrest, which is part of the central console.; The specification text mentions a front armrest, which is part of the central console.; The text mentions a front armrest, which is part of the central console.",X
NR59,Automātiski tumšojams salona spogulis,N,No,N,,"The specification text does not mention ""Automātiski tumšojams salona spogulis"" or an automatically dimming interior mirror.; The specification text does not mention an automatically dimming interior mirror.; The specification text does not mention ""Automātiski tumšojams salona spogulis"".",
NR60,12 V bagāžas nodalījumā,N,No,N,,"The specification text does not mention ""12 V bagāžas nodalījumā"" or a 12V socket in the luggage compartment.; There is no mention of a 12V socket in the luggage compartment in the specification text.; There is no mention of ""12 V bagāžas nodalījumā"" in the specification text.",
NR61,Bezvadu uzlāde,N,No,N,,"The specification text does not mention ""Bezvadu uzlāde"" or wireless charging.; The specification text does not mention wireless charging.; The specification text does not mention ""Bezvadu uzlāde"".",
NR62,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,Y,"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 6 - 7.9"" range.; The text mentions a 12.3"" touchscreen, which falls within the range of 6 - 7.9"".",X
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,N,,"The specification text does not mention a multifunctional touchscreen in the ""8 - 9,9"" size range.; The specification text does not mention a touchscreen within the 8 - 9.9"" range.; The specification text does not mention a touchscreen within the range of 8 - 9.9"".",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,N,,"The specification text does not mention a multifunctional touchscreen in the ""10 - 11,9"" size range.; The specification text does not mention a touchscreen within the 10 - 11.9"" range.; There is no mention of a touchscreen within the range of 10 - 11.9"" in the specification text.",
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Maybe,Y,"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 12+"" range.; The specification text does not mention a touchscreen within the range of 12 - "".",X
NR67,Zīmola audio sistēma,N,No,N,,"The specification text does not mention a ""Zīmola audio sistēma"" or branded audio system.; There is no mention of a brand-specific audio system in the specification text.; There is no mention of a ""Zīmola audio sistēma"" in the specification text.",
NR68,Navigācijas centrs,N,No,N,,"The specification text does not mention a ""Navigācijas centrs"" or navigation center.; The specification text does not mention a navigation center.; The specification text does not mention a ""Navigācijas centrs"".",
NR69,Navigācijas centrs - savienots,N,No,N,,"The specification text does not mention a ""Navigācijas centrs - savienots"" or connected navigation center.; The specification text does not mention a connected navigation center.; There is no mention of a ""Navigācijas centrs - savienots"" in the specification text.",
NR70,Android Auto un Apple CarPlay,N,Maybe,Y,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" which implies the presence of Android Auto and Apple CarPlay, but not explicitly as a combined feature.; The specification text mentions both wireless Apple CarPlay and Android Auto.; The text mentions both Android Auto and Apple CarPlay.",X
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Y,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text explicitly mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" confirming wireless Android Auto and Apple CarPlay.; The specification text specifies wireless versions of both Apple CarPlay and Android Auto.; The text mentions wireless Android Auto and Apple CarPlay.",X
NR72,Vieds palīgs ar AI,N,No,N,,"The specification text does not mention a ""Vieds palīgs ar AI"" or smart assistant with AI.; There is no mention of a smart assistant with AI in the specification text.; The specification text does not mention a ""Vieds palīgs ar AI"".",
NR73,Avārijas zvans,N,Yes,Y,Ārkārtas un avārijas izsaukums (e Call),"The text explicitly mentions ""Ārkārtas un avārijas izsaukums (e Call),"" confirming an emergency call feature.; The specification text mentions an emergency and breakdown call (e Call).; The text mentions an emergency call feature.",X
NR74,Head - Up displejs,N,No,N,,"The specification text does not mention a ""Head - Up displejs"" or head-up display.; There is no mention of a head-up display in the specification text.; There is no mention of a ""Head - Up displejs"" in the specification text.",
NR75,— SALONS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR76,Apsildāms stūres rats,N,No,N,,"The specification text does not mention an ""Apsildāms stūres rats"" or heated steering wheel.; The specification text does not mention a heated steering wheel.; The specification text does not mention an ""Apsildāms stūres rats"".",
NR77,Ādas (ieskaitot Sensico) stūres rats,N,No,N,,"The specification text does not mention an ""Ādas (ieskaitot Sensico) stūres rats"" or leather steering wheel.; There is no mention of a leather steering wheel in the specification text.; There is no mention of an ""Ādas (ieskaitot Sensico) stūres rats"" in the specification text.",
NR78,"Digitālais displejs - 8,9 collas",N,No,N,,"The specification text does not mention a ""Digitālais displejs - 8,9 collas"" or digital display of that size.; The specification text does not mention a digital display within the 8.9-inch range.; The specification text does not mention a digital display of 8.9 inches.",
NR79,"Digitālais displejs 9“ - 11,9”",N,No,N,,"The specification text does not mention a ""Digitālais displejs 9“ - 11,9”"" or digital display of that size.; The specification text does not mention a digital display within the 9"" - 11.9"" range.; There is no mention of a digital display within the range of 9"" - 11.9"" in the specification text.",
NR80,"Digitālais displejs 12+""",N,Yes,Y,,"The text mentions ""12,3"" skārienekrāns,"" which can be considered a digital display of 12+ inches.; The specification text mentions a 12.3"" touchscreen, which implies a digital display of 12+"".; The text mentions a 7"" color modern driver assistance system display, which is not within the range of 12+"".",X
NR81,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the driver's seat.; The specification text mentions heated front seats, which includes the driver's seat.; The text mentions heated front seats, which includes the driver's seat.",X
NR83,Apsildāms pasažiera sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the passenger seat.; The specification text mentions heated front seats, which includes the passenger's seat.; The text mentions heated front seats, which includes the passenger's seat.",X
NR84,Apsildāmi aizmugurējie sēdekļi,N,No,N,,"The specification text does not mention ""Apsildāmi aizmugurējie sēdekļi"" or heated rear seats.; The specification text does not mention heated rear seats.; The specification text does not mention ""Apsildāmi aizmugurējie sēdekļi"".",
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,N,,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the driver's seat.; There is no mention of manual lumbar adjustment for the driver's seat in the specification text.; There is no mention of ""Vadītāja sēdekļa jostasvietas regulēšana manuāli"" in the specification text.",
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,N,,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the passenger's seat.; There is no mention of manual lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana manuāli"".",
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,N,,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the driver's seat.; There is no mention of electric lumbar adjustment for the driver's seat in the specification text.; There is no mention of ""Vadītāja sēdekļa jostasvietas regulēšana elektriski"" in the specification text.",
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,N,,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the passenger's seat.; There is no mention of electric lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana elektriski"".",
NR89,Elektriski regulējams vadītāja sēdeklis,N,No,N,,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis"" or electrically adjustable driver's seat.; The specification text does not mention an electrically adjustable driver's seat.; There is no mention of ""Elektriski regulējams vadītāja sēdeklis"" in the specification text.",
NR90,Elektriski regulējams pasažiera sēdeklis,N,No,N,,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis"" or electrically adjustable passenger seat.; The specification text does not mention an electrically adjustable passenger's seat.; The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis"".",
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,N,,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis ar atmiņu"" or electrically adjustable driver's seat with memory.; There is no mention of an electrically adjustable driver's seat with memory in the specification text.; There is no mention of ""Elektriski regulējams vadītāja sēdeklis ar atmiņu"" in the specification text.",
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,N,,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis ar atmiņu"" or electrically adjustable passenger seat with memory.; There is no mention of an electrically adjustable passenger's seat with memory in the specification text.; The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis ar atmiņu"".",
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,Maybe,Y,Monoformas sporta stila sēdekļi ar melnu auduma apdari,"The specification text does not mention ""Sēdekļu apdare – audums/sintētiskā āda"" or fabric/synthetic leather upholstery.; The specification text mentions seats with black fabric upholstery.; There is no mention of ""Sēdekļu apdare – audums/sintētiskā āda"" in the specification text.",X
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,N,,"The specification text does not mention ""Sēdekļu apdare – Alcantara/sintētiskā āda"" or Alcantara/synthetic leather upholstery.; There is no mention of Alcantara/synthetic leather upholstery in the specification text.; The specification text does not mention ""Sēdekļu apdare – Alcantara/sintētiskā āda"".",
NR95,Sēdekļu apdare – sintētiskā āda,N,No,N,,"The specification text does not mention ""Sēdekļu apdare – sintētiskā āda"" or synthetic leather upholstery.; There is no mention of synthetic leather upholstery in the specification text.; There is no mention of ""Sēdekļu apdare – sintētiskā āda"" in the specification text.",
NR96,— INTERJERS – VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,
NR97,Automātiskā parkošanās sistēma,N,No,N,,"The specification text does not mention ""Automātiskā parkošanās sistēma"" or automatic parking system.; The specification text does not mention an automatic parking system.; The specification text does not mention ""Automātiskā parkošanās sistēma"".",
NR98,Aklās zona uzraudzība,N,No,N,,"The specification text does not mention ""Aklās zona uzraudzība"" or blind spot monitoring.; There is no mention of blind spot monitoring in the specification text.; There is no mention of ""Aklās zona uzraudzība"" in the specification text.",
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,N,,"The specification text does not mention ""Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu"" or blind spot monitoring with cross traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.; The specification text does not mention ""Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu"".",
NR100,Kruīza kontrole,N,Yes,Y,Kruīza kontrole ar ātruma ierobežotāju,"The text explicitly mentions ""Kruīza kontrole ar ātruma ierobežotāju,"" confirming cruise control with a speed limiter.; The specification text mentions cruise control with a speed limiter.; The text mentions cruise control with a speed limiter.",X
NR101,Kruīza kontrole - adaptīva,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva"" or adaptive cruise control.; The specification text does not mention adaptive cruise control.; The specification text does not mention ""Kruīza kontrole - adaptīva"".",
NR102,Kruīza kontrole - adaptīva Stop&Go,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva Stop&Go"" or adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.; There is no mention of ""Kruīza kontrole - adaptīva Stop&Go"" in the specification text.",
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva satiksmes sastrēgumos"" or adaptive cruise control in traffic jams.; The specification text does not mention adaptive cruise control for traffic jams.; The specification text does not mention ""Kruīza kontrole - adaptīva satiksmes sastrēgumos"".",
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu"" or adaptive cruise control based on a navigation system.; The specification text does not mention adaptive cruise control based on the navigation system.; There is no mention of ""Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu"" in the specification text.",
NR105,Joslas centrēšnas un apdzīšanas palīgs,N,No,N,,"The specification text does not mention ""Joslas centrēšnas un apdzīšanas palīgs"" or lane centering and overtaking assistant.; There is no mention of lane centering and overtaking assistance in the specification text.; The specification text does not mention ""Joslas centrēšnas un apdzīšanas palīgs"".",
NR106,Kamera - priekšējais 360° skats,N,No,N,,"The specification text does not mention ""Kamera - priekšējais 360° skats"" or front 360° camera view.; The specification text does not mention a front 360° camera view.; There is no mention of ""Kamera - priekšējais 360° skats"" in the specification text.",
NR107,Kamera - aizmugurējais skats,N,Yes,Y,Atpakaļskata kamera,"The text explicitly mentions ""Atpakaļskata kamera,"" confirming a rearview camera.; The specification text mentions a rearview camera.; The text mentions a rearview camera.",X
NR108,Parkošanās palīgsistēma – priekšējie sensori,N,No,N,,"The specification text does not mention ""Parkošanās palīgsistēma – priekšējie sensori"" or front parking sensors.; There is no mention of front parking sensors in the specification text.; The specification text does not mention ""Parkošanās palīgsistēma – priekšējie sensori"".",
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,N,No,N,,"The specification text does not mention ""Parkošanās palīgsistēma – aizmugurējie sensori"" or rear parking sensors.; There is no mention of rear parking sensors in the specification text.; There is no mention of ""Parkošanās palīgsistēma – aizmugurējie sensori"" in the specification text.",
NR110,— MEHĀNIKA – ŠASIJA —,Y,,,,,
